chapter_no	chapter_title	question_no	question	choice_1	choice_2	choice_3	choice_4	answer	evidence	explanation
23	Consequences	2	Who suggests going to the Asian restaurant?	Lily	Sam	Mom	Halmoni	2	But that only makes me want to bake now, before she needs to rest again. [RED: Sam shrugs. “Can we go to lunch at that Asian restaurant, on the corner of Willow and Vine?”] I turn to give Sam the stink-eye.	평소 가족 나들이를 싫어하던 샘이 먼저 제안합니다.
23	Consequences	3	그 식당에 대해 엄마가 한 말은?	너무 멀다	위생이 나쁘다	너무 비싸다	제대로 된 곳이 아니다	4	“I’m in the mood,” Sam says. “That place is just a little…” [RED: Mom makes a face like she’s smelling rotten garlic but trying to be polite about it. “Well, it’s not authentic.”] “Yeah,” I chime in.	반면 할머니는 그 집 탕수 요리가 제일 맛있다고 합니다.
23	Consequences	4	식당 안내대 위에 걸려 릴리의 눈길을 붙든 것은?	붉은 종이 등	금색 고양이 인형	용 그림	웃는 것 같은 한국 호랑이 그림	4	Hello! [RED: But I’m fixated on the painting right above the hostess stand. It’s a classic Korean painting of a tiger, with eyes as big and round as rice cakes. It looks like it’s laughing.] Suddenly I feel sweaty.	눈이 떡처럼 둥근, 웃는 듯한 호랑이 그림입니다.
23	Consequences	5	할머니가 아빠에게 몰래 먹였다는 것은?	아주 매운 김치	쓴 차	한약	흙을 섞은 밀크셰이크	4	“It was horrible.” [RED: “I make a milkshake for him,” Halmoni says. “A milkshake with little bit mud mixed in. But he take you mom away. That is bad. Little bit mud? Not that bad.”] Sam raises an eyebrow at me like, Can you believe?	이 이야기가 31장에서 릴리의 흙 푸딩으로 되풀이됩니다.
23	Consequences	6	Why did Halmoni say she fed him mud?	To make him think before speaking	To play a joke	To cure a cold	To make him sick	1	Like telling stories about Dad is something fun, instead of something terrible. [RED: “Mud good for him,” Halmoni says. Her eyes are happy and sad at the same time, in the missing-him way. “He always talking story—so much talking, but no thinking, aii-yah. Mud help to keep him grounded, think before he speak.”] Mom snorts.	말이 앞서는 사람을 땅에 붙들어 두려는 것이었다고 합니다.
23	Consequences	7	식당에서 할머니가 갑자기 한 행동은?	옆 테이블 손님의 접시를 가져왔다	주인과 다퉜다	밖으로 나가 버렸다	노래를 부르며 춤을 췄다	1	If Halmoni is seeing things that aren’t there—if she’s not here—then it’s almost like she’s not really Halmoni anymore. [RED: She stands and walks over to the table next to us, singing a Korean lullaby as she picks up the man’s plate. He sets his chopsticks on the table, making a startled sound.] Mom jumps up.	식당 한가운데서 고사상을 차리려 한 것입니다.
23	Consequences	8	릴리에게 사탕을 쥐여 준 종업원이 한 말은?	할머니를 안다	다음에 또 오라	자기 할아버지도 알츠하이머를 앓았다	음식값이 모자란다	3	“Okay.” [RED: “It’s not enough,” she says softly, “but my grandpa had Alzheimer’s. And I know how hard it is. He was always forgetting where he was, and who we were, and…I’m just really sorry it’s happening to you.”] I want to tell her this isn’t the same thing.	릴리는 이건 그것과 다르다고 속으로 생각합니다.
24	Side Effects	1	엄마가 알려 준, 할머니에게 남은 시간은?	몇 달, 어쩌면 일주일	아무도 모른다고만 했다	몇 년	한두 해	1	I stay very still so I don’t wake her. [RED: Mom takes a breath. “At Halmoni’s last doctor’s appointment, the prognosis wasn’t good. She could have a couple of months, or maybe just a week. But that’s why I want to make the most of the good days. We just don’t know.”] Mom’s words hang in the air for a few seconds, sucking up the oxygen.	좋은 날을 아껴 쓰자는 말이 뒤따릅니다.
24	Side Effects	2	Why won’t Mom force Halmoni to take the treatments?	The doctor refused.	It is Halmoni’s choice.	They are too far away.	They cost too much.	2	Can’t you just make her do them?” [RED: Mom grips the steering wheel tighter. “We have to respect Halmoni. This is her choice, not ours.”] “Yeah, but if there’s something we can do and you’re not doing it, you’re basically killing her.”	샘은 그러면 엄마가 할머니를 죽이는 것이라고 쏘아붙입니다.
24	Side Effects	3	"""신을 믿지 않으면요?""라는 샘의 물음에 엄마가 한 답은?"	나중에 이야기하자	모르겠다	할머니께 여쭤 보렴	그래도 믿어야 한다	2	Outside, the world goes green, gray, green, gray, and I look for the tiger, but she’s not there. [RED: For once, Sam’s words are soft. “What if I don’t believe in God?” Silence rings in my ears, and then Mom says something that moms are never supposed to say. “I don’t know.”] I scoot closer to Halmoni and curl my fingers into hers.	어른이 아이 앞에서 좀처럼 하지 않는 대답입니다.
24	Side Effects	4	오늘 떡을 만들자는 릴리에게 엄마가 한 말은?	재료가 없다	집을 조용히 해야 하니 내일 하자	할머니가 싫어하신다	네가 혼자 해 보렴	2	Mom steps back, unsure what to do about my sudden fierceness. [RED: “Tomorrow, all right? I promise. I just don’t want to do anything noisy or distracting for Halmoni. We need to keep the house quiet today, and we can’t do anything that might upset her.”] I don’t understand how making rice cakes would upset Halmoni, but Mom won’t budge.	릴리는 그 길로 리키에게 전화를 겁니다.
25	A House Like a Museum	1	What does Ricky’s family own?	The library	The grocery store	The paper mill	The restaurant	3	His dad’s a few years younger than me, so we went to high school at the same time but we weren’t really friends. [RED: His family owns the paper mill, though, where most of the business in town is. So everyone knew of them.]” I know it shouldn’t matter, but it still takes me a second to adjust: Ricky’s rich.	마을 일자리 대부분이 그 공장에 걸려 있습니다.
25	A House Like a Museum	2	리키네 집 진입로에서 릴리가 신기해한 것은?	토끼와 고양이 모양으로 다듬은 덤불	조각상	연못	분수	1	I’m not sure how that changes my perception of him, but I feel like it does, just a little bit. [RED: Our car putters into the long driveway, past bushes shaped like rabbits and cats. I’ve never seen anything like that, and I’m fascinated. They reshaped nature, just because they wanted to.] “This is…a lot,” Mom murmurs.	자연을 제 마음대로 다시 만들어 놓았다고 느낍니다.
25	A House Like a Museum	3	리키네 집 초인종의 특이한 점은?	소리가 나지 않는다	개 짖는 소리가 난다	불이 켜진다	클래식 음악이 흘러나온다	4	We walk up to the front door and ring the doorbell. [RED: Instead of chiming, this doorbell starts playing classical music. “I didn’t know they could do that,” I whisper to Mom. She fights back a smile. “I think it’s Bach.”] Ricky’s dad answers the door.	엄마는 바흐인 것 같다며 웃음을 참습니다.
25	A House Like a Museum	4	리키 아버지가 엄마를 옛 이름으로 부르자 엄마가 한 말은?	지금은 리브스라고 바로잡았다	못 들은 척했다	이름을 다시 물었다	반갑다고 웃었다	1	“Nice to meet you,” I say in my extra-polite voice. [RED: “And Joan Ku!” He opens the door wider, inviting us in. “Long time no see!” “It’s Reeves now,” Mom says. She grimace-smiles and hunches her shoulders, which is weird for her. Here she seems small.] We step inside, and—no surprise—the living room is just as grand as the outside of the house.	결혼하며 바꾼 남편의 성을 지켜 냅니다.
25	A House Like a Museum	5	Why does the rice cake filling go wrong?	They use grape jelly instead of bean paste.	They forget the sugar.	The oven is broken.	They burn it.	1	It’s too lumpy and too runny at the same time, and it doesn’t smell like Halmoni’s. [RED: On top of that, Ricky doesn’t have adzuki bean paste for the filling, so we improvise with grape jelly, and by the time the rice cakes are ready to go into the oven, they look completely and totally wrong.] Which makes me feel completely and totally wrong.	팥소가 없어 포도잼으로 대신했습니다.
25	A House Like a Museum	6	떡을 버리려는 릴리에게 리키가 한 말은?	다시 만들면 된다	완벽하지 않아도 좋을 수 있다	내가 먹어 주겠다	할머니께 여쭤보자	2	You just want someone to know it’s happening. After a maybe-too-long silence, he says, [RED: “My mom never used a recipe when she cooked. It turned out different every time. So we can still try these, if you want. Even if things aren’t perfect, they can still be good.”] I take a breath.	이 말이 45장의 챕터 제목으로 다시 나옵니다.
25	A House Like a Museum	7	릴리가 리키에게 시험공부를 더 하라고 한 이유는?	내기를 해서	선생님이 부탁해서	같은 학년이 되어 함께 지내고 싶어서	아빠에게 혼날까 봐	3	I don’t realize how mean that sounds until I see his face fall, but that’s not how I meant it. [RED: “Because I know you can pass it,” I explain. “You seem really smart. And you’re going into seventh grade, right? So if you pass it, we’ll be in the same grade. And we can be in middle school together.”] As I say it, it strikes me how much I want that.	말해 놓고 스스로도 그것을 얼마나 바라는지 깨닫습니다.
26	The Pinky Promise	1	릴리가 새벽 두 시에 알람을 맞춰 둔 이유는?	호랑이를 만나러 가려고	약을 챙기려고	엄마를 도우려고	샘을 감시하려고	1	[RED: I slam my phone alarm off as soon as it beeps me awake, and I slip out of bed, eager to meet with the tiger. I grab the tall, thin jar and the plate of rice cakes from under my bed] and pad over to the stairs—but a rustling in the corner of the room stops me. I spin around to see Sam fiddling with something by the window.	길쭉한 항아리와 떡 접시를 챙겨 내려갑니다.
26	The Pinky Promise	2	What is Sam doing with the rope?	Tying it to her bed to climb out the window	Making a swing	Packing it away	Hanging laundry	1	There’s something weird in her voice, something wobbly and uncertain. I walk over to her, and when I’m close enough, [RED: I realize she’s tying a rope to her bed frame. And not just any rope—but the rope Ricky and I used on the tiger trap.] “Where did you get that?”	호랑이 덫에 썼던 바로 그 밧줄이었습니다.
26	The Pinky Promise	3	샘이 몰래 나가는 이유로 댄 것은?	약을 사러	학교에 가려고	친구를 만나려고	이 집이 숨 막혀서	4	I whisper. [RED: Sam shrugs. “I’m sneaking out,” she says, like, obviously. “This house is suffocating.”] I stare at her.	아침 전에는 돌아오겠다고 덧붙입니다.
26	The Pinky Promise	4	두 자매가 헤어지며 나눈 것은?	새끼손가락을 걸었다	편지를 주고받았다	전화번호를 적어 주었다	비밀을 서로 털어놓았다	1	“Promise you’ll be okay?” [RED: “I’ll be fine. I’ll be back before morning.” Her eyes soften. “And you, too?” I extend my pinky. A pinky promise.] Long, long ago, a little sister cried.	어디 가는지는 서로 묻지 않은 채 약속만 합니다.
27	Jars of Love	1	이야기 속 손녀가 할머니에게 이야기 대신 청한 것은?	불을 켜 달라고	노래를 불러 달라고	밥을 지어 달라고	함께 자자고	2	The stories felt like darkness, the kind that hid under her bed and lurked beneath the stairs. [RED: No, Halmoni, she said. Tell me later. Sing to me instead.] Sighing, the halmoni would put the stories away and sing.	집안 이야기가 어둠처럼 무서웠기 때문입니다.
27	Jars of Love	2	What did the granddaughter’s hair reveal in the moonlight?	A bright white stripe	A red ribbon	Nothing at all	A silver comb	1	I should have told you sooner, the stories you need to know. [RED: The granddaughter twisted, trying to escape, and when she did, her black hair caught in the moonlight, which lit up a stripe of bright white.] The girl was transforming before her halmoni’s eyes—half human, half tiger.	샘의 흰 머리 한 가닥과 같은 표시입니다.
27	Jars of Love	3	손녀가 변해 가자 할머니가 한 말은?	나를 따라와라	도망쳐라	맞서 싸워라	숨어라	3	The girl was transforming before her halmoni’s eyes—half human, half tiger. [RED: Dark magic. Her granddaughter was cursed, the same way her daughter had been cursed. Fight it, Halmoni said. But the girl could not. Still she transformed.] She felt trapped in her own skin.	싸우라고 했지만 소녀는 결국 변하고 맙니다.
27	Jars of Love	4	손녀가 떠난 뒤 할머니가 보름달마다 한 일은?	불을 밝혀 두었다	산에 올라 빌었다	항아리에 마음을 담아 바다로 띄웠다	편지를 썼다	3	Tiger or not. [RED: So every full moon, she took a storage jar from her shelf and whispered her heart into it. She filled the jars with love. A new kind of magic.] She didn’t know where the girl had gone, but every full moon, she sent a jar into the sea, hoping the ocean would carry it off across the world.	사랑을 담은 항아리가 손녀를 찾아가기를 바랐습니다.
27	Jars of Love	5	What does the tiger say about a cure?	It always takes time.	It is about what we need, not what we want.	Only the sky god can give one.	It costs a story.	2	“How is this story going to cure my halmoni?” [RED: “A cure is not about what we want. It’s about what we need. The same is true for stories.”] I have this strange feeling of fullness, like I’m going to burst.	이야기도 마찬가지라고 덧붙입니다.
27	Jars of Love	6	이야기 속 손녀는 끝내 어떻게 되었느냐는 물음에 호랑이가 한 답은?	하늘로 올라갔다	집으로 돌아왔다	떠났다	호랑이가 되었다	3	Or maybe he was not as powerful as he claimed to be—maybe he couldn’t control her heart.” [RED: I stare at the tiger. “But what happened to the granddaughter in the end?” The tiger lowers her head. “She left.”] “Did she ever find her way home?”	집을 찾았느냐고 묻자 호랑이는 이야기가 끝났다며 입을 닫습니다.
28	Kimchi at Midnight	1	한밤중 부엌에서 엄마가 냉장고에서 꺼낸 것은?	우유	김치통	남은 떡	과일	2	“Um,” I say. [RED: Mom scans the food as she blinks herself awake, and pulls out Halmoni’s plastic tub of kimchi. “Sound good?” she asks, holding it up.] I nod, not trusting myself to say anything.	조리대에 걸터앉아 손으로 집어 먹습니다.
28	Kimchi at Midnight	2	Why does Lily stare at her mother in the kitchen?	Mom is crying.	Mom is asleep.	Mom is breaking her own rules.	Mom found the jar.	3	When she holds the tub out to me, I stare at my mother. [RED: Any moment now, she’ll wake up and realize she was sleepwalking. And sleep-eating. And sleep-rule-breaking. Mom laughs. “Lily. Stop looking at me like I have three heads.”] “It’s just…”	규칙을 세우던 엄마가 스스로 규칙을 깨고 있습니다.
28	Kimchi at Midnight	3	엄마가 릴리에게 사과하며 한 말은?	할 수만 있다면 세상을 막아 주고 싶다	이사를 오지 말았어야 했다	언니 편만 들었다	더 자주 놀아 주지 못했다	1	Mom wraps her arm around me, pulling me closer. [RED: “I’m sorry, Lily,” she whispers, into my ear. “I’d hold back the world if I could. I’d take away all your pain. But you’ve already faced such hard things. I’m sorry I couldn’t protect you.”] I bite my cheek.	지켜 주지 못해 미안하다고 말합니다.
28	Kimchi at Midnight	4	조리대 위의 별 항아리를 본 엄마의 반응은?	깨질까 봐 치웠다	어디서 본 것 같다고 했다	어디서 났느냐고 화를 냈다	알아보지 못했다	2	“Um…just in Halmoni’s old stuff.” [RED: “Huh. It looks familiar.” Mom frowns, just slightly. I catch a hint of recognition on her face, but it flits away. “Ah, I’m sure I just saw it around when I was a kid.”] She slides off the counter and screws the lid back onto the kimchi.	알아볼 듯하다가 이내 흘려보냅니다.
29	A Stranger in Halmoni's Skin	1	아침에 계단에 흩어져 있던 것은?	깨진 유리	잣	마른 약초	생쌀	4	I head down the stairs, but after a few steps, something sharp digs into my bare feet. [RED: I lift my foot and realize it’s rice—uncooked grains, scattered across the steps. Which is weird.] I brush them off, but I don’t have much time to think about it, because when I go downstairs, I see that Halmoni has cooked enough Korean food to fill the entire kitchen.	누가 왜 뿌렸는지는 38장에서 밝혀집니다.
29	A Stranger in Halmoni's Skin	2	What is Halmoni doing when Lily comes downstairs?	Cleaning the basement	Talking on the phone	Sleeping	Cooking a huge amount of food	4	Which is weird. [RED: I brush them off, but I don’t have much time to think about it, because when I go downstairs, I see that Halmoni has cooked enough Korean food to fill the entire kitchen.] Sam helps Halmoni, humming to herself as she carries the finished dishes to the table, and seeing my sister fills me with relief.	부엌을 가득 채울 만큼 상을 차렸습니다.
29	A Stranger in Halmoni's Skin	3	할머니가 릴리 목의 목걸이를 보고 한 말은?	자기 것인데 준 적이 없다	샘에게 주어라	어디서 샀느냐	잘 어울린다	1	You gave it to me.” [RED: “No, that mine. Someone give me that, long, long ago. I remember.” She shakes her head. “But I don’t give you that. Why you saying that?”] I don’t know how to respond, but Sam interrupts.	자기가 걸어 준 것을 기억하지 못합니다.
29	A Stranger in Halmoni's Skin	4	할머니가 샘의 흰 머리를 만지며 한 말은?	아빠를 닮았다	보기 싫으니 검게 물들여라	고향에 있을 때 자기도 그랬다	엄마를 닮았다	3	Halmoni turns and walks to Sam. [RED: When she reaches my sister, Halmoni runs her fingers over Sam’s white streak. “This like me, when I back at home. So long ago. So long, I try to forget.”] My limbs go cold.	잊으려 애썼다는 옛일을 흘리듯 말합니다.
29	A Stranger in Halmoni's Skin	5	What does Halmoni call Lily when she looks into her eyes?	A tiger	A stranger	Her daughter	A ghost	1	It’s like she’s seeing a different world. [RED: But when Halmoni looks into my eyes, she recoils. “A tiger,” she hisses.] I step back.	릴리를 보고 뒷걸음질 치며 내뱉는 말입니다.
29	A Stranger in Halmoni's Skin	6	이 장에서 릴리를 가장 무너뜨린 사실은?	엄마가 화를 냈다	할머니가 이름을 틀리게 불렀다	할머니가 자기를 알아보지 못한다	샘이 나가 버렸다	3	And I realize: she can’t remember. [RED: And it’s not just that, but there’s something worse, too—a flash of panic behind her eyes. It’s not that she can’t remember my name. It’s that she can’t remember me.] She doesn’t know me.	이름이 아니라 릴리라는 사람 자체를 기억하지 못합니다.
30	The Witch Lady	1	도서관에 들어선 두 자매가 느낀 것은?	아무도 없었다	문이 잠겨 있었다	불이 꺼져 있었다	음악과 웃음소리로 분위기가 달라져 있었다	4	[RED: Sam and I reach the library, and when we open the doors, I hear music. And laughter. The change of atmosphere is disorienting.] On one side of the library, Jensen crowds around her laptop with a girl and a boy who both look about her age, and on the other—Ricky sits with his back to me, at a table with two other boys.	베이크 세일 준비로 사람들이 모여 있었습니다.
30	The Witch Lady	2	Why did Joe become a librarian?	He loves reading aloud.	He likes order and the decimal system.	His mother was a librarian.	He needed a quiet job.	2	I wait for him to tell me, because of course I don’t. [RED: “Dewey,” he says. “As in the decimal system.” I’m not sure if he’s joking or not, but he continues, “I like order. I like organization. The idea of all the information in the world, all organized, everything in its place—I like that idea.”] He clears his throat.	세상의 모든 것이 제자리에 놓인다는 생각이 좋았다고 합니다.
30	The Witch Lady	3	조가 이야기를 무엇에 빗대었나요?	돌	불	물	바람	3	“But I’ve been doing this job for a long time. [RED: And the thing I’ve learned is that stories aren’t about order and organization. They’re about feelings. And feelings don’t always make sense. See, stories are like…” He pauses, brow furrowing, then nods, satisfied in finding the right comparison: “Water. Like rain. We can hold them tight, but they always slip through our fingers.”] I try to hide my shock.	꽉 쥐어도 손가락 사이로 빠져나간다고 말합니다.
30	The Witch Lady	4	"""어디서 왔니?""라는 애덤의 물음에 릴리가 한 대답은?"	모르겠어요	한국이요	캘리포니아요	길 건너에서요	4	He looks familiar, though I’m not sure why. [RED: “So, Lily, where are you from?” My brain goes blank for a second. Then I say, “I’m from across the street.”] For some reason, I feel like that wasn’t the answer he was looking for, but he gives me half a nod—a quick jerk of his chin.	릴리는 그가 바란 답이 아니었다고 느낍니다.
30	The Witch Lady	5	코너가 릴리의 할머니를 뭐라고 불렀나요?	약초 할머니	언덕 위 할머니	이야기 할머니	미친 마녀 아줌마	4	“She’s my grandma.” [RED: Connor’s eyebrows go high. “The crazy witch lady is your grandma?”] I want to tell him, Crazy is not a thinking word.	저주를 걸 줄 아느냐고까지 물어봅니다.
30	The Witch Lady	6	What does Ricky tell the other boys about Halmoni?	That she is a real witch	That she is sick and has hallucinations	That she bakes well	That she is from Korea	2	Who knits scarves instead of mixing strange Korean herbs. [RED: Ricky finally speaks, mouth still full. “Guys, Lily’s grandma’s not scary. It’s not her fault she’s like that. She’s sick, so she has hallucinations that make her act that way, like scared of ghosts and tigers and stuff, right, Lily?”] The ground becomes a black hole—a tiger’s mouth, jaws open wide—and I’m falling in, swallowed whole.	릴리를 변호하려다 비밀을 그대로 말해 버립니다.
30	The Witch Lady	7	리키의 말에서 릴리가 가장 아팠던 점은?	자기 이름을 틀리게 불러서	할머니의 모든 것이 병 탓처럼 들려서	친구들이 비웃어서	거짓말을 해서	2	But that’s not even the worst part. [RED: The worst part is that when I heard Ricky say that, it felt like the sickness is all that Halmoni is. Like the sickness is the reason for how she is.] But Halmoni isn’t like that because she’s sick.	할머니는 아파서가 아니라 원래 그런 사람이라고 릴리는 생각합니다.
31	The Cursed Pudding	1	릴리가 푸딩 컵 안에 넣은 것은?	고춧가루	마른 약초	소금	흙	4	The ground is soft and slimy and, if you think about it, looks a lot like pudding. [RED: I pull the foil lid off the cup, carefully and only slightly, so you couldn’t tell the cup had been opened unless you were looking really hard. Then I dump some of the pudding onto the ground and scoop mud inside.] Halmoni fed Dad mud because he spoke too much without thinking.	뚜껑을 살짝 열어 표가 나지 않게 흙을 퍼 넣습니다.
31	The Cursed Pudding	2	What does the tiger say the library is?	A boring place	Her favorite place	A trap	Too noisy	2	I ask, rubbing raindrops from my eyes. [RED: “What, a tiger can’t enjoy the library? It happens to be my favorite place.”] I stare at her.	이 한마디가 40장에서 결정적인 실마리가 됩니다.
31	The Cursed Pudding	3	할머니가 목걸이와 흰 머리를 잊었다는 말에 호랑이가 한 대꾸는?	곧 나아질 것이다	잊은 것이냐, 기억한 것이냐	병이 깊어진 것이다	내 탓이 아니다	2	I lower the pudding and let rain run into my mouth as I say, “Halmoni forgot about the pendant and Sam’s white streak today.” [RED: “Was she forgetting or remembering?” I glare at her, sick of riddles.] “You must reach the end—”	릴리는 알쏭달쏭한 말에 진저리를 냅니다.
31	The Cursed Pudding	4	"릴리가 ""저리 가""라고 하자 호랑이가 한 말은?"	아무 말도 하지 않았다	다시 오겠다	네 뜻대로	후회할 것이다	3	I make things better, and I don’t trick people, making them wait for the end while bad things happen. [RED: “I’m not a monster,” I tell her. “Leave me alone.” She tsks, a sharp sound that scrapes against her teeth. “As you wish.” And then, in a flash, she’s gone.] I am alone again, in the rain, with only the pudding cup clutched to my chest.	이 말 때문에 호랑이는 한동안 나타나지 않습니다.
31	The Cursed Pudding	5	What does Ricky say after Lily admits what she did?	You cursed me.	Tell my dad.	You are mean.	I forgive you.	1	“Mud isn’t that bad.” [RED: They blink in shock, and Ricky looks at me with a mixture of fear and awe. “You cursed me,” he whispers.] And I can’t deal anymore.	두려움과 경외가 섞인 얼굴로 릴리를 봅니다.
32	Trying Our Best	1	릴리가 한 일을 엄마에게 말해 버린 사람은?	조	리키	샘	젠슨	3	I say, “Nothing.” [RED: But Sam says, “Lily put mud in that kid’s pudding.” “Sam!” I hiss as the betrayal whips through me. Sisters keep secrets.] Sisters keep each other’s secrets.	자매는 서로의 비밀을 지켜야 한다고 릴리는 생각합니다.
32	Trying Our Best	2	What job is Mom offered?	A teaching job at the school	An accounting job at Everett Mills	A job at the library	A job at the restaurant	2	“What?” [RED: “His dad…” She sighs. “We were talking about how I’m looking for work, and he called to offer me an accounting position at Everett Mills. It’s just…it was such a relief to get a job, and—well, that’s not the point.”] I feel bad now.	하필 리키 아버지가 엄마에게 일자리를 주었습니다.
32	Trying Our Best	3	릴리가 흙을 넣은 이유로 든 것은?	푸딩을 뺏겨서	리키가 약속을 어겨서	리키가 거짓말을 해서	아이들이 할머니를 마녀라고 놀려서	4	Not even tigers. [RED: “But, Mom, he was being mean about Halmoni! You didn’t hear him. He and his friends called her a witch. They said she was crazy and scary. That was bad. Mud is not that bad.”] Mom pulls me over to the kitchen table to sit with her.	"""흙은 그렇게 나쁘지 않다""는 할머니의 말을 그대로 씁니다."
32	Trying Our Best	4	엄마가 릴리에게 한 충고는?	샘에게 배우지 말라	어른 일에 끼어들지 말라	할머니를 이해 못 하는 사람보다 할머니에게 힘을 쓰라	친구를 가려 사귀어라	3	And it’s hard—especially now. [RED: But Halmoni doesn’t need you putting mud in people’s pudding for her. She needs you to be there, to focus on her. And when you do something like this, you’re spending more energy on the people who don’t understand Halmoni than on Halmoni herself.”] In the moment, I felt like I was doing the right thing.	싸울 힘을 할머니에게 쓰라는 말입니다.
32	Trying Our Best	5	What was Mom’s role when she was a little girl?	She stayed home alone.	She was Halmoni’s assistant and translator.	She worked at the library.	She lived with her father.	2	She’d find things that people needed help with, and she’d figure out how to do it. [RED: “And I wanted to help her. It’s how we spent time together. I was her little assistant, trailing after her, translating, writing everything in English.]” I can’t imagine Mom following Halmoni around like that.	이민 가정에서 아이가 부모의 통역을 맡는 흔한 모습입니다.
32	Trying Our Best	6	엄마가 할머니와 멀어진 이유로 말한 것은?	아빠 때문에	크게 싸운 일이 있었다	특별한 일은 없었고 그냥 자랐다	할머니가 미워서	3	I’m afraid of what comes next. [RED: But Mom shakes her head. “There’s nothing bad, Lily. Nothing magical or interesting, not like her fairy tales. It was just…real life. I grew up.”] I don’t want to be like that when I get older.	옛이야기 같은 사연은 없었다고 잘라 말합니다.
33	As You Wish	1	사과하는 샘에게 릴리가 한 행동은?	방을 나갔다	같이 울었다	아무 대답도 하지 않았다	소리를 질렀다	3	Long, long ago, when tiger walked like man, there were two sisters…. [RED: Sam exhales sharply. “You’re really gonna give me the silent treatment?”] The two sisters loved each other, more than anything.	샘이 하던 대로 이어폰을 낀 척 입을 다뭅니다.
33	As You Wish	2	What does Sam say she wants?	To learn to drive	To see the tiger	To move back to California	For it to be over already	4	She takes a breath. [RED: “But whatever. I just want it to end. I want it to be over already.”] Her words chill the room by ten thousand degrees.	할머니가 죽어 가는 것을 보는 일이 힘들다는 말 끝에 나옵니다.
33	As You Wish	3	그 말을 들은 릴리가 다급히 시킨 것은?	엄마에게 사과하라	취소하고 나무를 두드리라	방에서 나가라	다시 말해 보라	2	Her words chill the room by ten thousand degrees. [RED: My heart stammers, and I push the covers back. “Take it back,” I say. “Knock on wood.” Her voice is ragged, broken glass. “I don’t believe in that stuff anymore.”] “But you have to.	샘은 이제 그런 것을 믿지 않는다고 잘라 말합니다.
33	As You Wish	4	그날 밤 지하실에 내려간 릴리가 마주한 것은?	호랑이가 없는 빈 방	할머니가 앉아 있었다	항아리가 사라졌다	덫이 무너져 있었다	1	Sam might not believe, but I do. [RED: I push the basement door open, but when I creak down the steps, I find only an empty room. The tiger isn’t there.] It’s just a dusty basement with a bunch of old boxes, lit by a thin strip of window.	"""저리 가""라고 한 말이 그대로 이루어진 것입니다."
34	Super Tiger Girl	1	차 안에서 엄마가 쑥에 대해 설명한 것은?	아무 효과가 없다	메스꺼움에 쓰는 약초인데 생생한 꿈을 꾸게 한다는 말이 있다	먹으면 위험하다	할머니가 직접 기른 것이다	2	The tone of her voice is a warning, but I say, “Yes.” [RED: “That’s an herbal remedy that Halmoni’s been taking. It helps with her nausea, but some people think it causes vivid dreams and nightmares. None of it’s evidence based, of course, and it’s not dangerous. But you don’t need any more stress.”] “Oh.”	호랑이가 꿈일 수도 있다는 또 하나의 설명이 됩니다.
34	Super Tiger Girl	2	What does Lily say to Ricky’s dad at the door?	That Ricky started it	That she is sorry for lying	That he should not blame her mom	That she wants to go home	3	Especially when it’s wrong because of you. [RED: “Don’t blame my mom,” I tell him. “She’s a very good worker and doesn’t do…strange things.”] Mom looks like she can’t decide if she wants to hug me or hide behind the rabbit bush.	자기 잘못으로 엄마가 불이익을 볼까 봐 먼저 나섭니다.
34	Super Tiger Girl	3	릴리의 말에 리키 아버지가 한 대꾸는?	이상한 아이를 둔 심정을 안다	사과부터 해라	엄마를 불러라	그럴 리 없다	1	Mom looks like she can’t decide if she wants to hug me or hide behind the rabbit bush. [RED: Ricky’s dad almost smiles. “I recognize that. I know what it’s like to have a strange child.”] I’m not sure how to respond to that, but I’ll take it as a win.	웃음을 참으며 자기 아들 이야기로 받아 줍니다.
34	Super Tiger Girl	4	사과하러 만난 날 리키가 쓰고 있던 모자는?	아무 무늬 없는 검정 야구모자	고양이 귀가 달린 비니	볼러 햇	위장무늬 실크해트	1	The phrase Take your friend to the den has a bit of a murder vibe to it, but when Ricky shows up, he looks sheepish. [RED: He’s wearing a plain black baseball cap. It’s the most normal I’ve ever seen him.] He gives me an uncertain wave and then leads me into the blue-themed living room.	릴리가 본 리키의 가장 평범한 모습입니다.
34	Super Tiger Girl	5	How does Ricky mispronounce “halmoni”?	Harmony	Almond	Alimony	Hollow-me	1	“I’m sorry about the mud.” [RED: Ricky exhales. “I’m sorry, too. About the stuff we said about your grandma. I mean, your harmony.” I blink at him, confused.] “I want you to feel more comfortable, so I’m using the Korean word,” he explains.	"릴리가 ""할-머-니예요""라고 고쳐 줍니다."
34	Super Tiger Girl	6	리키의 친구들이 릴리를 뭐라고 부르게 되었나요?	Tiger Girl	Quiet Girl	Mud Girl	Witch Girl	4	“Do your friends hate me?” [RED: He laughs. “They think you’re supercool. They kept referring to you as Witch Girl. But not in a bad way. Anyone who does something like that is probably worth knowing.”] I sneak a glance at him.	나쁜 뜻이 아니라 대단하다는 뜻이라고 전합니다.
34	Super Tiger Girl	7	리키가 털어놓은 자기 엄마의 소식은?	병으로 돌아가셨다	작년에 집을 떠나 연락이 없다	멀리 일하러 갔다	곧 돌아온다	2	Is she…” [RED: “She’s not dead. She left. Last year. And we haven’t heard from her since.”] I wonder if, somehow, that makes it worse.	릴리는 그것이 더 힘든 일일지도 모른다고 생각합니다.
